Package Name,Class Name,Method Name,Parameter Types,Cyclomatic Complexity
org.apache.commons.collections4.iterators,AbstractMapIteratorTest,testEmptyMapIterator,"No parameters",4
org.apache.commons.collections4.list,AbstractListTest,testListListIteratorNextRemovePrevious,"No parameters",3
org.apache.commons.collections4,FluentIterable,asEnumeration,"No parameters",1
org.apache.commons.collections4,MultiSetUtils,emptyMultiSet,"No parameters",1
org.apache.commons.collections4,IteratorUtilsTest,testCollatedIterator,"No parameters",1
org.apache.commons.collections4,PredicateUtils,falsePredicate,"No parameters",1
org.apache.commons.collections4.iterators,FilterListIterator,setPredicate,"Predicate<? super E>",1
org.apache.commons.collections4.list,AVLNode,setOffset,"AVLNode<E>, int",2
org.apache.commons.collections4.bloomfilter,SparseBloomFilterTest,testBloomFilterBasedMergeEdgeCases,"No parameters",1
org.apache.commons.collections4.iterators,ListIteratorWrapper2Test,setUp,"No parameters",1
org.apache.commons.collections4.multiset,AbstractMultiSetTest,testMultiSetRemove,"No parameters",2
org.apache.commons.collections4.bloomfilter,AbstractBloomFilterExtractorTest,testForEachPairReturnFalseLateShortArray,"No parameters",1
org.apache.commons.collections4.bloomfilter,IndexExtractorTest,testAsIndexArray,"int",2
org.apache.commons.collections4,AbstractArrayListTest,testNewArrayList,"No parameters",1
org.apache.commons.collections4.comparators,FixedOrderComparatorTest,testUnknownObjectBehavior,"No parameters",1
org.apache.commons.collections4,ComparatorUtils,chainedComparator,"Comparator<E>",2
org.apache.commons.collections4.comparators,ComparatorChainTest,testBadListComparatorChain,"No parameters",1
org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMapTest,testClearException,"No parameters",1
org.apache.commons.collections4.list,SetUniqueListTest,testIntCollectionAddAll,"No parameters",1
org.apache.commons.collections4.iterators,EmptyOrderedIterator,emptyOrderedIterator,"No parameters",1
org.apache.commons.collections4.trie,PatriciaTrieTest,testPrefixMapClear,"No parameters",1
org.apache.commons.collections4.multimap,AbstractMultiValuedMapTest,makeKey,"int",1
org.apache.commons.collections4.iterators,AbstractMapIteratorTest,testMapIteratorRemoveGetValue,"No parameters",2
org.apache.commons.collections4,CollectionUtils,sizeIsEmpty,"Object",9
org.apache.commons.collections4,IterableUtils,duplicateSet,"Iterable<E>, C",2
org.apache.commons.collections4.list,CursorableLinkedList,updateNode,"Node<E>, E",1
org.apache.commons.collections4,WrappedPut,size,"No parameters",1
org.apache.commons.collections4.collection,TransformedCollection,transformedCollection,"Collection<E>, Transformer<? super E,? extends E>",3
org.apache.commons.collections4.collection,AbstractCollectionDecorator,setCollection,"Collection<E>",1
org.apache.commons.collections4,CollectionUtils,emptyCollection,"No parameters",1
org.apache.commons.collections4.bloomfilter,SetOperationsTest,testCosineSimilarity,"No parameters",1
org.apache.commons.collections4.comparators,AbstractComparatorTest,testReverseListSort,"No parameters",1
org.apache.commons.collections4.functors,AbstractCompositePredicateTest,nullCollectionToGetInstance,"No parameters",1
org.apache.commons.collections4.bidimap,AbstractBidiMapTest,bulkTestBidiMapIterator,"No parameters",1
org.apache.commons.collections4.iterators,ObjectArrayListIteratorTest,testListIteratorSet,"No parameters",2
org.apache.commons.collections4.list,TreeListTest,testAddMultiple,"No parameters",1
org.apache.commons.collections4,CollectionUtilsTest,testGetEnumeration,"No parameters",1
org.apache.commons.collections4.multimap,AbstractMultiValuedMapTest,testKeySetSize,"No parameters",1
org.apache.commons.collections4.map,CompositeMapTest,testResolveCollision,"No parameters",1
org.apache.commons.collections4,ClosureUtils,exceptionClosure,"No parameters",1
org.apache.commons.collections4.multiset,AbstractMultiSetTest,testMultiSetEqualsSelf,"No parameters",2
org.apache.commons.collections4.map,Segment,readValueUnderLock,"HashEntry<K,V>",1
org.apache.commons.collections4.bloomfilter,SetOperations,jaccardDistance,"BitMapExtractor, BitMapExtractor",1
org.apache.commons.collections4.set,CompositeSetTest,testFailedCollisionResolution,"No parameters",1
org.apache.commons.collections4,CollectionUtilsTest,testSizeIsEmpty_Map,"No parameters",1
org.apache.commons.collections4.bloomfilter,LayerManagerTest,testAdvanceOnCount,"int",2
org.apache.commons.collections4.bag,PredicatedSortedBagTest,makeTestBag,"No parameters",1
org.apache.commons.collections4,BagUtils,emptySortedBag,"No parameters",1
org.apache.commons.collections4,AbstractObjectTest,testSimpleSerialization,"No parameters",2
org.apache.commons.collections4,MapUtils,synchronizedMap,"Map<K,V>",1
org.apache.commons.collections4,CollectionUtilsTest,testAddIgnoreNull,"No parameters",1
org.apache.commons.collections4,SetUtils,union,"Set<? extends E>, Set<? extends E>",1
org.apache.commons.collections4.functors,FactoryTransformer,getFactory,"No parameters",1
